ABAISSER	Se baisser.
ANOMALIE	Angle qui mesure cette irrégularité.
ANOMALON	Genre d’insectes hyménoptères de la famille des ichneumons, particulièrement présents dans les régions tropicales, qui se nourrissent de larves de lépidoptères et de noctuelles.
ANOMIQUE	Qui n’est pas organisé, qui ne respecte pas les règles sociales, qui est relatif à l’anomie.
ANOMOURE	Crustacé décapode n’ayant que 3 paires de pattes ambulatoires, comme les bernard-l’hermite, les galathées, les crabes royaux ou les crabes porcelaines.
ANONYMAT	Qualité de ce qui est anonyme.
ANOREXIE	Absence, perte d’appétit.
ANORMALE	Personne dont l’état ou le comportement n’est pas normal.
ANOXIQUE	Relatif à l’anoxie.
ANSERINE	Synonyme de potentille ansérine.
ANTABUSE	Disulfirame.
ANTALGIE	Inhibition de la douleur.
ANTENAIS	Mouton dans sa deuxième année.
ANTIBOIS	Habitant d’Antibes, commune française située dans le département des Alpes-Maritimes.
ANTICHAR	Qui s’oppose à l’action des blindés, qui nuit aux chars d’assaut.
ANTICHOC	Qui dispose d’une protection ou qui est conçu pour résister aux chocs.
ANTIDATE	Fausse date, antérieure à la véritable.
ANTIDOTE	Remède à ce qu’on veut combattre.
ANTIENNE	Propos, slogan, refrain..., que l’on répète sans cesse.
ANTIGANG	Brigade antigang.
ANTIHALO	Qui empêche la formation d'un halo lumineux.
ANTIJUIF	Qui s’oppose aux juifs.
ANTILOPE	Ruminant aux pattes fines et aux cornes creuses arquées. Peut désigner de nombreux bovidés, à l'exclusion des ovins, des caprins et des vaches et autres animaux de bétail ressemblants.
ANTIMITE	Produit antimite.
ANTINAZI	Opposé au nazisme.
ANTIPAPE	Prétendant non reconnu par l'Église catholique romaine au titre de pape.
ANTIPODE	Chose à l’opposé de ce qui est attendu.
ANTIRIDE	Qui réduit ou atténue les rides.
ANTISENS	Qui caractérise un acide nucléique (ADN ou ARN) qui s'associe de manière complémentaire à un ARN messager l'empêchant ainsi d'être traduit en protéine.
ANTISIDA	Destiné à lutter contre le sida.
ANTISPAM	Logiciel antispam.
ANTITOUT	Qui soigne tout.
ANTONIEN	Relatif à Saint-Antoine-de-Tilly, municipalité québécoise.
ANTONYME	Mot qui a un sens opposé à un autre.
ANURIQUE	Caractérisé par l’anurie, en parlant d’une affection.
ANXIEUSE	Celle qui souffre d’anxiété, qui a un caractère anxieux.
AORTIQUE	Qui tient à l’aorte
AOUTERON	Ouvrier saisonnier engagé pour les travaux de la campagne au mois d’août.
APAGOGIE	Raisonnement philosophique consistant à démontrer la vérité d’une proposition en prouvant l’absurdité de la proposition contraire.
APAISANT	Qui apporte l’apaisement, qui rassure, qui calme.
APANAGER	Donné en apanage.
APATRIDE	Qui est sans patrie, sans nationalité.
APERTURE	Écartement des organes au point d’articulation d’un phonème.
APETISSE	Rappetisse.
APEURANT	Qui apeure, effrayant.
APHIDIEN	Qualifie ces insectes.
APHYLLES	Classe de plantes selon le système décrit dans lArrangement de , dont le type est un champignon ou un lichen.
APIQUAGE	Action d’apiquer.
APITOYER	Toucher de pitié.
APLOMBER	Mettre d’aplomb.
APOASTRE	Point de l’orbite d’un objet céleste gravitant autour d’un astre, pour lequel la distance des deux corps est maximale.
