ABAISSER	Se baisser.
DYSLEXIE	Trouble de l’apprentissage de la lecture, en dehors de toute déficience intellectuelle et sensorielle et de toute maladie mentale, qui se traduit par des inversions et des confusions de lettres, de syllabes et de mots.
DYSLOGIE	Trouble du langage résultant d’une altération psychique.
DYSOSMIE	Trouble de l’olfaction.
DYSTASIE	Difficulté à se tenir debout.
DYSTOCIE	Difficulté lors de l’accouchement pour les femmes.
DYSTOMIE	Trouble de la prononciation.
DYSTONIE	Trouble moteur caractérisé par des contractions musculaires intenses et involontaires, prolongées, qui provoquent des attitudes et des postures anormales, de tout ou partie du corps.
DYSTOPIE	Anomalie ou irrégularité congénitale dans la position anatomique d’un organe du corps (dent, rein, testicule, etc.).
ECDYSONE	Hormone de la mue chez les insectes et crustacés.
ECTINITE	Roche dont le métamorphisme est dû à un simple réarrangement minéralogique sans apport extérieur.
ECUELLES	Mauvaise orthographe de Écuelles
ECUISSES	Mauvaise orthographe de Écuisses
EFFACEUR	Qui estompe ou supprime.
EFFANAGE	Action d’effaner des pommes de terre ou des légumes-racines, en ôter les fanes après leur récolte.
EFFANURE	Fanes de blé ou d’une autre céréale ramassées après l’effanage.
EFFARANT	Extrême.
EFFECTIF	Qui produit un effet réel.
EFFICACE	Qui produit son effet.
EFFILAGE	Action d’effiler.
EFFILEUR	Celui qui effile.
EFFILURE	Fils qui résultent de l’effilage.
EFFLUENT	Matière effluente : Ancien nom de l'électricité.
EFFLUVER	Émettre des effluves.
EFFORCER	Employer toute sa force à faire quelque chose ; ne pas assez ménager ses forces en faisant quelque chose.
EFFRAYER	Remplir de frayeur.
EFFRITER	User, épuiser une terre.
EFFUSION	Vive et sincère manifestation d’un sentiment, épanchement.
EIGHTIES	Décennie des années 1980.
ELDORADO	Pays imaginaire, où chacun vit au sein de l’abondance et des richesses.
EMBALLER	Séduire, pour amener au flirt.
EMBARDER	Faire une embardée.
EMBARRAS	Manque d’argent, pénurie.
EMBARRER	Faire levier avec une barre ; soulever.
EMBATAGE	Action d’embatre une roue, de la cercler de fer.
EMBATTRE	Cercler une roue avec une bande de fer.
EMBAUCHE	Début quotidien du travail.
EMBAUMER	Fleurer ; sentir bon.
EMBELLIE	Circonstance favorable, bonne occasion.
EMBELLIR	Rendre plus beau.
EMBLAVER	Ensemencer une terre en blé.
EMBOITER	Suivre de très près.
EMBOSSER	Installer dans une position défensive ou d'observation.
EMBOUAGE	Action qui consiste à inonder une mine ou une galerie de mine de charbon avec un mélange boueux d'eau et d’argile, en vue d'éteindre un incendie.
EMBOUCHE	Action d’engraisser les bestiaux.
EMBOUTER	Garnir d’un embout.
EMBOUTIR	Endommager par une collision, heurter violemment.
EMBRASER	Prendre feu.
EMBRASSE	Bande d’étoffe ou cordelière qui sert à retenir un rideau.
EMBRAYER	Commencer une action, à la suite d'une précédente. Réagir.
EMBREVER	Unir deux solives par un embrèvement ; faire entrer une pièce de bois dans une autre afin de les assembler.
EMBRUMER	Remplir de brume.
EMBUGNER	Emboutir.
EMBUVAGE	Raccourcissement des fils de chaîne se produisant pendant le tissage, il est causé par le croisement avec les fils de trame.
EMMANCHE	Disposition en pyramide de pièces s'enclavant sur les bords de l'écu.
EMMENTAL	District du canton de Berne en Suisse.
EMMERDER	S’ennuyer.
EMPALEUR	Qui empale.
EMPALMER	Action de saisir et dissimuler un objet dans la paume de la main.
EMPANADA	Petit (ou feuilleté) farci de viande, de poisson, d’œuf, de légumes ou d’autres ingrédients.
EMPANNER	Virer dos au vent.
EMPATHIE	Dans la tradition phénoménologique, appréhension immédiate de l’affectivité d’autrui.
EMPATTER	Faire les fondations d'un mur.
EMPAUMER	S'étouffer
EMPEIGNE	Ce qui forme le dessus d’un soulier.
EMPENNER	Munir, recouvrir de pennes, de plumes, en parlant d’un oiseau.
EMPEREUR	Souverain d’un empire.
EMPERLER	Embellir.
EMPESAGE	Action d’empeser ou état de ce qui est empesé.
EMPESTER	Empuantir, infecter d’une odeur désagréable.
EMPILADE	Action de s’empiler.
EMPILAGE	Gerbage.
EMPILEUR	Voleur.
EMPLETTE	La chose achetée.
EMPLOYER	Utiliser ; user ; se servir de.
EMPLUMER	Garnir de plumes.
EMPOCHER	Accaparer de l'argent disponible, avec empressement et avidité.
EMPORIUM	Marque de mobilier et de décoration.
EMPORTER	Guérir.
EMPOSIEU	Aven où les eaux s'engouffrent pour reparaître, sous forme de sources abondantes, dans les vallées inférieures.
EMPOTAGE	Action d’empoter.
EMPREINT	(Avec de) Caractérisé par ; profondément marqué par.
EMPRUNTE	(Par paronymie) Empreinte.
ENCADRER	Mettre dans un cadre.
ENCAISSE	Somme des valeurs qui sont dans la caisse ou dans le portefeuille d’une maison de banque, d’une administration.
ENCALMER	S’arrêter par manque de vent.
ENCANTER	Acheter à l’encan.
ENCAQUER	Mettre dans une caque.
ENCARTER	Insérer un encart.
ENCAVAGE	Mise en cave, encavement.
ENCAVEUR	Celui qui encave.
ENCEINTE	Espace enceint.
ENCENSER	Faire l’éloge de, flatter par des louanges outrées.
ENCIERRO	Dépendances d'une arène où sont enfermés les taureaux avant une corrida.
ENCLAVER	S’introduire, s'enfermer.
ENCLOUER	Fixer, immobiliser, réparer grâce à un ou des clous.
ENCOCHER	Tailler d’une coche ou d’une encoche.
ENCODAGE	Transcription de données vers un format ou un protocole codé.
ENCODEUR	Qui encode.
ENCOLLER	Enduire d’un apprêt fait de colle, de gomme, ou de quelque autre matière semblable.
ENCOLURE	Air, apparence.
ENCOMBRE	Obstacle, difficulté matérielle ou d’autre nature.
ENCONTRE	Nom commun uniquement usité dans à l’encontre et ses variantes.
ENCORDER	Assujettir avec des cordes.
ENCORNER	Frapper avec ses cornes.
ENCORNET	Nom servant à désigner d’autres mollusques céphalopodes comme la seiche ou le poulpe.
ENCOUBLE	Entrave pour les animaux.
ENCOURIR	S'esquiver rapidement.
ENCREUSE	Assistante d’un dessinateur qui réalise les traits à l’encre d’un dessin.
ENCULAGE	Action de sodomiser, relation sexuelle consistant en un coït anal.
ENCULEUR	Importun.
ENCUVAGE	Action d’encuver.
ENDENTER	Garnir de dents.
ENDETTER	Charger de dettes, engager dans des dettes.
ENDIGAGE	Synonyme de endiguement.
ENDIGUER	Contrer.
ENDOGAME	Relatif à l’endogamie.
ENDOLORI	Qui est douloureux, qui a des douleurs.
ENDORMIE	Personne qui est endormie.
ENDORMIR	Engourdir.
ENDOSSER	Mettre sur son dos.
ENDURANT	Qui a de la patience.
ENDURCIE	Celle qui a perdu tout sentiment de piété.
ENDURCIR	Rendre dur.
ENDYMION	Berger que Zeus fit tomber dans un sommeil éternel.
ENFANTER	Mettre au monde un enfant.
ENFANTIN	Qui est composé d'enfants.
ENFARGER	ou Empêtrer, entraver.
ENFARGES	Entraves destinées à empêcher un animal domestique de s’enfuir.
ENFERMER	Contenir en soi-même.
ENFERRER	Se jeter sur l'épée de son adversaire.
ENFICHER	Enfoncer un équipement dans un équipement prévu pour le recevoir (partie femelle).
ENFILADE	Suite de pièces d’un appartement.
ENFILAGE	Coït, baise.
ENFILEUR	Enjôleur.
ENFONCER	Aller au fond.
ENFORCIR	Rendre plus fort.
ENFUMAGE	Action d’enfumer.
ENFUMOIR	Ustensile permettant de projeter un peu de fumée vers une ruche, la fumée ayant un effet calmant sur les abeilles.
ENGAINER	Mettre dans une gaine.
ENGEANCE	Progéniture ; enfants ; descendance.
ENGELURE	Enflure causée par le froid, surtout aux pieds et aux mains et accompagnée d’inflammation, quelquefois même de crevasses.
ENGERBER	Mettre en gerbe.
ENGLOBER	Réunir une ou plusieurs choses à un tout déjà existant.
ENGLUAGE	action d’engluer.
ENGOBAGE	Action d’engober une pièce de céramique (lui appliquer un engobe).
ENGOMMER	Appliquer de la gomme sur.
ENGONCER	Rendre gauche, contraindre.
ENGORGER	Obstruer des vaisseaux sanguins.
ENGOURDI	Qui manque de vivacité d’esprit, de répartie.
ENGRAMME	Empreinte laissée dans le cerveau ou le système nerveux par quelque événement et susceptible d’être réactivé par une stimulation appropriée.
ENGRAVER	Graver dans.
ENGRENER	Emplir de grain.
ENHARDIR	Rendre hardi.
ENHERBER	Empoisonner.
ENIVRANT	Qui enivre.
ENJAMBER	Franchir en étendant la jambe.
ENJUGUER	Mettre un animal de trait au joug.
ENJUIVER	Faire devenir plus juif, influencer dans ce sens.
ENLAIDIR	Rendre laid.
ENLEVAGE	Transfert d'une toile d'un support fragilisé sur un autre.
ENLEVANT	Qui transporte d’enthousiasme.
ENLEVURE	Matière que l'on enlève à la masse.
ENLIGNER	Aligner.
ENNEIGER	Couvrir de neige.
ENNOBLIR	Anoblir, pourvoir d’un titre de noblesse.
ENNOYAGE	Action d'ennoyer, résultat de cette action.
ENNUAGER	Couvrir de nuages.
ENNUYANT	Qui cause du souci.
ENNUYEUX	Qui cause du souci.
ENQUERRE	Requête, recherche.
ENRAGEAT	Cépage hâtif dont le nom officiel inscrit au catalogue des espèces autorisées est folle-blanche.
ENRAYAGE	Action d’enrayer ; enraiement.
ENRAYOIR	Ce qui sert à enrayer les rais d’une voiture.
ENRAYURE	Ce qui sert à enrayer une roue.
ENRHUMER	Affecter du rhume.
ENRICHIR	Rendre riche.
ENROBAGE	Action d’enrober.
ENROBANT	Qui enrobe.
ENROCHER	Établir une construction sur un enrochement.
ENROULER	Frapper le ballon avec un effet.
ENSABLER	Remplir de sable.
ENSACHER	Mettre en sac.
ENSEIGNE	Informations, renseignements.
ENSEMBLE	En couple amoureux.
ENSERRER	Enfermer ; enclore.
ENSILAGE	La matière mise dans le silo.
ENSIMAGE	Action d’ensimer ; résultat de cette action.
ENSOUPLE	Grosse bobine du métier à tisser, souvent dotée de rebords à ses extrémités, servant à enrouler le fil de chaîne en vue d’une étape suivante telle que l’encollage, la teinture ou le tissage.
ENSUIFER	Garnir de suif.
ENSUIVRE	Suivre.
ENSUQUER	Engourdir, endormir.
ENTABLER	Poser sur une table.
ENTACHER	Fragiliser la légalité d’un acte par une erreur, une omission ou tout défaut.
ENTAILLE	Coupure faite dans les chairs.
ENTAMURE	Entame.
ENTARTER	Jeter une tarte à la crème à la figure de quelqu’un.
ENTASSER	Épargner.
ENTENDRE	Exiger.
ENTENDUE	Femme qui se croit capable, qui est suffisante, qui joue l’importante.
ENTERRER	Cacher.
ENTICHER	(Utilisé uniquement dans ) Se prendre d'un goût excessif, d'une vive passion pour quelqu'un ou pour quelque chose.
ENTOILER	Relier en toile.
ENTOLOME	Espèce de champignons à chapeau à lames, au pied cylindrique sans anneau ni cortine et à spores roses.
ENTONNER	Mettre un air sur le ton.
ENTOURER	Environner.
ENTRACTE	Intervalle qui sépare les diverses parties d’un concert, d’un spectacle quelconque.
ENTRAIDE	Action de s’entraider.
ENTRAVER	Comprendre ; capter ; piger.
ENTREFER	Espace séparant deux pôles du circuit magnétique d’un électro-aimant ou autre appareil électromagnétique.
ENTREJEU	Milieu du terrain.
ENTRESOL	Appartement pris sur la hauteur d’un étage.
ENTREVUE	Rencontre concertée entre deux ou plusieurs personnes pour se voir, pour parler d’affaires ou de tout autre sujet.
ENTRISME	Stratégie qui consiste, pour les membres d’une organisation ou d’un parti politique, à entrer collectivement dans une autre organisation concurrente ou proche afin d’y exercer une influence de l’intérieur.
ENTRISTE	Qui vise à l’entrisme.
ENTROPIE	Manque d’information.
ENTROQUE	Débris de crinoïdes fossiles.
ENTUBAGE	Action d’entuber, duperie, escroquerie.
ENVERGER	Garnir de petites branches d’osier.
ENVIABLE	Qui est digne d’envie.
ENVIDAGE	Action d’envider un fil (l’enrouler autour d’un fuseau ou d’une bobine).
ENVIEUSE	Personne qui envie.
ENVIRONS	Les alentours d’un lieu, ce qu’il y a autour.
ENVOILER	Se courber, se gauchir, en parlant du fer, de l’acier, lorsqu'on les trempe.
ENVOUTER	Charmer, séduire.
ENVOYEUR	Celui qui envoie.
ENZOOTIE	Épizootie frappant une région soit de façon permanente soit épisodiquement mais sans s'étendre.
EPANNAIS	Graphie souvent utilisée pour Épannais, la graphie normale ne pouvant être saisie au clavier.
EPARGNES	Mauvaise orthographe de Épargnes
EPERVIER	Graphie parfois utilisée pour Épervier, la graphie normale ne pouvant être saisie au clavier.
EPINEUSE	Mauvaise orthographe de Épineuse
EPOISSES	Mauvaise orthographe de Époisses
EPSOMITE	Sulfate de magnésium hydraté qui se rencontre en veines ou en efflorescences, et aussi en dissolution dans certaines eaux minérales
ERGONOME	Spécialiste de l'ergonomie.
ERGOTAGE	Action d’ergoter ou résultat de cette action.
ERGOTEUR	Celui qui ergote sans cesse, qui aime à ergoter.
ERGOTINE	Substance extraite de l’ergot de seigle, principalement utilisé pour arrêter les hémorragies.
ERMITAGE	Palais des tsars de Russie à , de nos jours, avec le , l’un des plus grands musées au monde.
ERRATUMS	: pluriel de erratum.
ESBAUDIR	, égayer, réjouir.
ESBIGNER	Voler, dérober.
ESCABEAU	Siège de bois sans bras ni dossier.
ESCADRON	Unité d’avions de combat.
ESCALADA	Nom de famille.
ESCALADE	Action de grimper.
ESCALIER	Voie piétonne constituée d’un ensemble de marches.
ESCALOPE	Main.
ESCAPADE	Action du cheval qui s'emporte.
ESCARBOT	Relatif aux escarbots.
ESCARGOT	Spirale, .
ESCARPIN	Soulier découvert et à simple semelle.
ESCLAVON	Celui qui est originaire des pays slaves, qui y habite.
ESCOMPTE	Retenue faite par celui qui avance avant l’échéance une somme due à quelqu’un.
ESCORTER	Accompagner isolément.
ESCOUADE	Groupe de personnes qui agissent de concert.
ESCRIMER	Faire de l’escrime.
ESCROQUE	Femme qui escroque, ou qui est accusée d’escroquerie.
ESCULAPE	Asclépios.
ESCULINE	Hétéroside toxique et anticoagulant issu de l’écorce du marronnier d’Inde, (). Son aglycone est l’esculétine, un dérivé de la coumarine, et son glucide le glucose.
ESGOURDE	Oreille.
ESPAGNOL	Habitant de l’Espagne ; personne originaire de ce pays.
ESPALIER	Premier rameur de galère.
ESPANTER	Sidérer ; surprendre fortement ; ébahir ; épater ; impressionner.
ESPONTON	Arme d'abordage des marins.
ESPRESSO	Café très corsé avec un fort arôme, obtenu en faisant passer rapidement de l’eau bouillante sous pression à travers du café finement moulu et torréfié.
ESQUARRE	Pièce honorable constituée par une équerre qui isole du champ un des coins de l’écu.
ESQUICHE	Injection forcée de liquides ou de laitiers de ciment dans un sondage.
ESQUILLE	Petit fragment acéré de bois, de pierre, etc.
ESQUIMAU	Marque commerciale sous laquelle sont vendu les esquimaux.
ESQUISSE	Description sommaire.
ESQUIVER	Éviter adroitement.
ESSAIMER	Répandre, diffuser.
ESSANGER	Soumettre du papier à l’opération d’échangeage. Échanger.
ESSARTER	Défricher, en arrachant les arbres, les broussailles et les racines en vue d’une mise en culture ou d’un renouvellement complet.
ESSAYAGE	Action d’essayer.
ESSAYEUR	Celui qui essaie.
ESSORAGE	Action d’essorer.
ESSORANT	Qui essore.
ESSUYAGE	Action d’essuyer.
ESSUYEUR	Celui qui essuie .
ESTACADE	Dispositif destiné à protéger les piles d’un pont des corps flottants.
ESTAFIER	Laquais de grande taille. — Se prend en mauvaise part, dans le sens de spadassin ; le féminin est fort rare
ESTAGNON	Récipient cylindrique en étain, en cuivre ou fer étamé, souvent clissé, utilisé dans le Midi pour contenir les huiles, les essences aromatiques.
ESTAMPER	Escroquer, tromper.
ESTAMPES	Commune française du département du Gers.
ESTAMPIE	Danse médiévale originaire de France pratiquée du au siècle.
ESTANCIA	Vaste exploitation agricole d’Amérique du Sud.
ESTERLIN	Poids dont se servaient les orfèvres et qui valait environ 1,5 gramme.
ESTIVAGE	Action d’estiver.
ESTIVANT	Touriste de la saison estivale.
ESTIVAUX	Commune française du département de la Corrèze.
ESTOCADE	Attaque violente et soudaine.
ESTOMPER	Adoucir, atténuer.
ESTONIEN	Habitant ou originaire de l’Estonie.
ESTOPPEL	Principe juridique établissant qu’une partie ne saurait se prévaloir de prétentions contradictoires au détriment de ses adversaires.
ESTOQUER	Donner l’estocade.
ESTRAGON	Nom usuel de Artemisia dracunculus, plante potagère, herbacée, perenne, odoriférante, de la famille des Asteraceae (Astéracées, dont on se sert comme assaisonnement.
ESTUAIRE	Embouchure d’un fleuve qui forme une sorte de baie large et longue.
